claim_id,subject,claim,source_id,evidence,confidence,used_in_scoring,public,notes
C001,"Преп-Центр","Есть отдельная услуга фулфилмента бытовой химии",S001,"Профильная страница","HIGH",TRUE,TRUE,""
C002,"Преп-Центр","Опубликован проект 10 000 единиц за 3 дня",S001,"10000 ед.; 3 дня","HIGH",TRUE,TRUE,""
C003,"Преп-Центр","Проект включал ВПП, термоусадку и маркировку",S001,"Перечень операций","HIGH",TRUE,TRUE,""
C004,"Преп-Центр","Стоимость конкретного проекта составила 180 000 руб. или 18 руб./ед.",S002,"180000 руб.; 18 руб./ед.","HIGH",TRUE,TRUE,"Не универсальный тариф"
C005,"Преп-Центр","Подтверждены автоматические линии ВПП и термоусадки",S003,"Упаковочное оборудование","HIGH",TRUE,TRUE,""
C006,"Преп-Центр","Подтверждены WMS и складской учет",S004,"WMS МПФИТ","HIGH",TRUE,TRUE,""
C007,"Helpberries","Опубликован прямой кейс производителя бытовой химии",S006,"Профиль клиента указан прямо","HIGH",TRUE,TRUE,""
C008,"Helpberries","В кейсе настроены FBS и централизованные FBO-отгрузки",S006,"FBS + FBO","HIGH",TRUE,TRUE,""
C009,"Helpberries","Крупная партия обрабатывается не более чем за 24 часа",S006,"<=24 часа","HIGH",TRUE,TRUE,""
C010,"Helpberries","В кейсе заявлены рост заказов +150%, снижение логистических затрат 28% и ошибки 0,3%",S006,"+150%; -28%; 0,3%","HIGH",TRUE,TRUE,""
C011,"Helpberries","Подтверждены WMS/ERP-интеграция и учет остатков",S006,"Интеграция учета","HIGH",TRUE,TRUE,""
C012,"Родной Дом","Есть отдельная страница бытовой и автохимии",S009,"Профильная категория","HIGH",TRUE,TRUE,""
C013,"Родной Дом","Описаны контроль укупорки и целостности тары, протечки и защитная упаковка",S009,"Профильный контроль","HIGH",TRUE,TRUE,""
C014,"Родной Дом","Подтверждены ВПП, термоусадка, герметичные пакеты, FBO и FBS",S009,"Полный профильный процесс","HIGH",TRUE,TRUE,""
C015,"Родной Дом","Компания прямо не принимает аэрозоли и баллоны под давлением",S009,"Прямое ограничение","HIGH",TRUE,TRUE,""
C016,"Нитропак","Есть отдельная услуга для бытовых товаров и жидкостей",S011,"Профильная страница","HIGH",TRUE,TRUE,""
C017,"Нитропак","Подтверждены защита от протечек, термоусадка и дополнительная обмотка",S011,"Профильная упаковка","HIGH",TRUE,TRUE,""
C018,"Нитропак","Подтверждены WMS, маркировка и FBO для WB/Ozon",S011,"WMS + FBO","HIGH",TRUE,TRUE,""
C019,"Нитропак","Опубликованы тарифы на обработку, логистику и хранение",S012,"Открытый прайс","HIGH",TRUE,TRUE,""
C020,"ПроФасовка","Есть отдельная услуга фулфилмента бытовой химии",S014,"Прямая категория","HIGH",TRUE,TRUE,""
C021,"ПроФасовка","Описаны риски протечек, порошков и канистр 3–5 литров",S014,"Категорийные риски","HIGH",TRUE,TRUE,""
C022,"ПроФасовка","Подтверждены фасовка и подготовка к маркетплейсам",S014,"Производство + фулфилмент","HIGH",TRUE,TRUE,""
C023,"UpMarket","Подтверждены ВПП, пленка, термоусадка, маркировка и доставка на маркетплейсы",S016,"Набор операций","HIGH",TRUE,TRUE,""
C024,"UpMarket","Компания заявляет обслуживание более 1 млн единиц в месяц",S017,"1M+ ед./мес.","HIGH",TRUE,TRUE,""
C025,"Контракт Фактори","Компания занимается производством бытовой химии и фулфилментом",S018,"Химическая специализация","HIGH",TRUE,TRUE,""
C026,"Контракт Фактори","Подтверждены приемка, проверка, ВПП, термоусадка и маркировка",S018,"Набор операций","HIGH",TRUE,TRUE,""
C027,"Контракт Фактори","Подтверждены хранение и работа с химической продукцией",S020,"Хранение химии","HIGH",TRUE,TRUE,""
C028,"logixPRO","Есть отдельное ответственное хранение бытовой химии",S021,"Профильная страница","HIGH",TRUE,TRUE,""
C029,"logixPRO","Описаны разделение по классам опасности, температура, герметичность и защита от протечек",S021,"Условия хранения","HIGH",TRUE,TRUE,""
